co2_1(45-60) co2_2(45-60) t1(45-60) h1(45-60) t2(45-60) h2(45-60) t3(45-60) h3(45-60) co2_1(30-45) co2_2(30-45) t1(30-45) h1(30-45) t2(30-45) h2(30-45) t3(30-45) h3(30-45) co2_1(15-30) co2_2(15-30) t1(15-30) h1(15-30) t2(15-30) h2(15-30) t3(15-30) h3(15-30) co2_1(0-15) co2_2(0-15) t1(0-15) h1(0-15) t2(0-15) h2(0-15) t3(0-15) h3(0-15) sco2_1(0-60) sco2_2(0-60) st1(0-60) sh1(0-60) st2(0-60) sh2(0-60) st3(0-60) sh3(0-60) sco2_1(0-45) sco2_2(0-45) st1(0-45) sh1(0-45) st2(0-45) sh2(0-45) st3(0-45) sh3(0-45) sco2_1(0-30) sco2_2(0-30) st1(0-30) sh1(0-30) st2(0-30) sh2(0-30) st3(0-30) sh3(0-30) sco2_1(0-15) sco2_2(0-15) st1(0-15) sh1(0-15) st2(0-15) sh2(0-15) st3(0-15) sh3(0-15) label
3 7 0.0 0.0 0.0 0.0 0.0 1.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 9 12 0.0 0.0 0.0 0.0 0.0 2.0 6 5 0.0 0.0 0.0 0.0 0.0 1.0 3 8 0.0 1.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 0
3 -3 0.0 1.0 0.0 0.0 0.0 1.0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 -1 -1 0.0 1.0 0.0 0.0 0.0 1.0 5 4 0.0 1.0 0.0 0.0 0.0 2.0 2 7 0.0 2.0 0.0 0.0 0.0 1.0 1 6 0.0 1.0 0.0 0.0 0.0 1.0 -1 -1 0.0 1.0 0.0 0.0 0.0 1.0 0
1 1 0.0 1.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 -1 -1 0.0 1.0 0.0 0.0 0.0 1.0 -1 4 0.0 3.0 0.0 0.0 0.1 0.0 1 11 0.0 1.0 0.0 0.0 0.1 1.0 0 10 0.0 2.0 0.0 0.0 0.1 1.0 -2 3 0.0 2.0 0.0 0.0 0.1 1.0 -1 4 0.0 3.0 0.0 0.0 0.1 0.0 0
9 3 0.0 0.0 0.0 0.0 0.0 0.0 -18 -7 0.0 1.0 0.0 0.0 0.0 0.0 -8 -11 0.1 1.0 0.0 0.0 0.1 1.0 2 -1 0.1 0.0 0.1 0.0 0.0 0.0 -15 -16 0.2 2.0 0.1 0.0 0.1 1.0 -24 -19 0.2 2.0 0.1 0.0 0.1 1.0 -6 -12 0.2 1.0 0.1 0.0 0.1 1.0 2 -1 0.1 0.0 0.1 0.0 0.0 0.0 1
-18 -7 0.0 1.0 0.0 0.0 0.0 0.0 -8 -11 0.1 1.0 0.0 0.0 0.1 1.0 2 -1 0.1 0.0 0.1 0.0 0.0 0.0 6 2 0.0 0.0 0.0 0.0 0.0 0.0 -18 -17 0.2 2.0 0.1 0.0 0.1 1.0 0 -10 0.2 1.0 0.1 0.0 0.1 1.0 8 1 0.1 0.0 0.1 0.0 0.0 0.0 6 2 0.0 0.0 0.0 0.0 0.0 0.0 1
-8 -11 0.1 1.0 0.0 0.0 0.1 1.0 2 -1 0.1 0.0 0.1 0.0 0.0 0.0 6 2 0.0 0.0 0.0 0.0 0.0 0.0 2 13 0.1 0.0 0.2 0.0 0.0 1.0 2 3 0.3 1.0 0.1 0.0 0.1 0.0 10 14 0.2 0.0 0.1 0.0 0.0 1.0 8 15 0.1 0.0 0.2 0.0 0.0 1.0 2 13 0.1 0.0 0.2 0.0 0.0 1.0 1
2 -1 0.1 0.0 0.1 0.0 0.0 0.0 6 2 0.0 0.0 0.0 0.0 0.0 0.0 2 13 0.1 0.0 0.2 0.0 0.0 1.0 -53 11 0.0 1.0 0.3 0.0 0.0 0.0 -43 25 0.2 1.0 0.2 0.0 0.0 1.0 -45 26 0.1 1.0 0.1 0.0 0.0 1.0 -51 24 0.1 1.0 0.1 0.0 0.0 1.0 -53 11 0.0 1.0 0.3 0.0 0.0 0.0 1
6 2 0.0 0.0 0.0 0.0 0.0 0.0 2 13 0.1 0.0 0.2 0.0 0.0 1.0 -53 11 0.0 1.0 0.3 0.0 0.0 0.0 -56 -4 0.1 0.0 0.1 0.0 0.0 1.0 -101 22 0.2 1.0 0.0 0.0 0.0 0.0 -107 20 0.2 1.0 0.0 0.0 0.0 0.0 -109 7 0.1 1.0 0.2 0.0 0.0 1.0 -56 -4 0.1 0.0 0.1 0.0 0.0 1.0 1
2 13 0.1 0.0 0.2 0.0 0.0 1.0 -53 11 0.0 1.0 0.3 0.0 0.0 0.0 -56 -4 0.1 0.0 0.1 0.0 0.0 1.0 -47 -8 0.0 0.0 0.0 0.0 0.0 0.0 -154 12 0.2 1.0 0.0 0.0 0.0 0.0 -156 -1 0.1 1.0 0.2 0.0 0.0 1.0 -103 -12 0.1 0.0 0.1 0.0 0.0 1.0 -47 -8 0.0 0.0 0.0 0.0 0.0 0.0 1
-53 11 0.0 1.0 0.3 0.0 0.0 0.0 -56 -4 0.1 0.0 0.1 0.0 0.0 1.0 -47 -8 0.0 0.0 0.0 0.0 0.0 0.0 -33 4 0.0 1.0 0.1 0.0 0.0 1.0 -189 3 0.1 0.0 0.3 0.0 0.0 2.0 -136 -8 0.1 1.0 0.0 0.0 0.0 2.0 -80 -4 0.0 1.0 0.1 0.0 0.0 1.0 -33 4 0.0 1.0 0.1 0.0 0.0 1.0 1
22 -19 0.0 1.0 0.0 0.0 0.0 0.0 25 -9 0.0 0.0 0.0 0.0 0.0 0.0 11 -5 0.1 1.0 0.0 0.0 0.0 0.0 0 10 0.0 0.0 0.0 0.0 0.1 1.0 58 -23 0.1 2.0 0.0 0.0 0.1 1.0 36 -4 0.1 1.0 0.0 0.0 0.1 1.0 11 5 0.1 1.0 0.0 0.0 0.1 1.0 0 10 0.0 0.0 0.0 0.0 0.1 1.0 0
25 -9 0.0 0.0 0.0 0.0 0.0 0.0 11 -5 0.1 1.0 0.0 0.0 0.0 0.0 0 10 0.0 0.0 0.0 0.0 0.1 1.0 7 -4 0.1 1.0 0.0 0.0 0.0 1.0 43 -8 0.2 2.0 0.0 0.0 0.1 2.0 18 1 0.2 2.0 0.0 0.0 0.1 2.0 7 6 0.1 1.0 0.0 0.0 0.1 2.0 7 -4 0.1 1.0 0.0 0.0 0.0 1.0 0
11 -5 0.1 1.0 0.0 0.0 0.0 0.0 0 10 0.0 0.0 0.0 0.0 0.1 1.0 7 -4 0.1 1.0 0.0 0.0 0.0 1.0 12 -9 0.0 2.0 0.0 0.0 0.0 1.0 30 -8 0.2 0.0 0.0 0.0 0.1 1.0 19 -3 0.1 1.0 0.0 0.0 0.1 1.0 19 -13 0.1 1.0 0.0 0.0 0.0 0.0 12 -9 0.0 2.0 0.0 0.0 0.0 1.0 0
0 10 0.0 0.0 0.0 0.0 0.1 1.0 7 -4 0.1 1.0 0.0 0.0 0.0 1.0 12 -9 0.0 2.0 0.0 0.0 0.0 1.0 21 -18 0.1 0.0 0.0 0.0 0.1 1.0 40 -21 0.2 1.0 0.0 0.0 0.0 2.0 40 -31 0.2 1.0 0.0 0.0 0.1 1.0 33 -27 0.1 2.0 0.0 0.0 0.1 0.0 21 -18 0.1 0.0 0.0 0.0 0.1 1.0 0
7 -4 0.1 1.0 0.0 0.0 0.0 1.0 12 -9 0.0 2.0 0.0 0.0 0.0 1.0 21 -18 0.1 0.0 0.0 0.0 0.1 1.0 38 -2 0.1 2.0 0.1 1.0 0.0 0.0 78 -33 0.1 1.0 0.1 1.0 0.1 1.0 71 -29 0.0 0.0 0.1 1.0 0.1 0.0 59 -20 0.0 2.0 0.1 1.0 0.1 1.0 38 -2 0.1 2.0 0.1 1.0 0.0 0.0 0
12 -9 0.0 2.0 0.0 0.0 0.0 1.0 21 -18 0.1 0.0 0.0 0.0 0.1 1.0 38 -2 0.1 2.0 0.1 1.0 0.0 0.0 21 -13 0.1 0.0 0.1 0.0 0.0 0.0 92 -42 0.1 0.0 0.0 1.0 0.1 0.0 80 -33 0.1 2.0 0.0 1.0 0.1 1.0 59 -15 0.0 2.0 0.0 1.0 0.0 0.0 21 -13 0.1 0.0 0.1 0.0 0.0 0.0 0
21 -18 0.1 0.0 0.0 0.0 0.1 1.0 38 -2 0.1 2.0 0.1 1.0 0.0 0.0 21 -13 0.1 0.0 0.1 0.0 0.0 0.0 29 -13 0.0 0.0 0.0 0.0 0.0 1.0 109 -46 0.1 2.0 0.0 1.0 0.1 0.0 88 -28 0.0 2.0 0.0 1.0 0.0 1.0 50 -26 0.1 0.0 0.1 0.0 0.0 1.0 29 -13 0.0 0.0 0.0 0.0 0.0 1.0 0
38 -2 0.1 2.0 0.1 1.0 0.0 0.0 21 -13 0.1 0.0 0.1 0.0 0.0 0.0 29 -13 0.0 0.0 0.0 0.0 0.0 1.0 33 -12 0.0 0.0 0.0 0.0 0.0 0.0 121 -40 0.0 2.0 0.0 1.0 0.0 1.0 83 -38 0.1 0.0 0.1 0.0 0.0 1.0 62 -25 0.0 0.0 0.0 0.0 0.0 1.0 33 -12 0.0 0.0 0.0 0.0 0.0 0.0 0
