co2_1(45-60) co2_2(45-60) t1(45-60) h1(45-60) t2(45-60) h2(45-60) t3(45-60) h3(45-60) co2_1(30-45) co2_2(30-45) t1(30-45) h1(30-45) t2(30-45) h2(30-45) t3(30-45) h3(30-45) co2_1(15-30) co2_2(15-30) t1(15-30) h1(15-30) t2(15-30) h2(15-30) t3(15-30) h3(15-30) co2_1(0-15) co2_2(0-15) t1(0-15) h1(0-15) t2(0-15) h2(0-15) t3(0-15) h3(0-15) sco2_1(0-60) sco2_2(0-60) st1(0-60) sh1(0-60) st2(0-60) sh2(0-60) st3(0-60) sh3(0-60) sco2_1(0-45) sco2_2(0-45) st1(0-45) sh1(0-45) st2(0-45) sh2(0-45) st3(0-45) sh3(0-45) sco2_1(0-30) sco2_2(0-30) st1(0-30) sh1(0-30) st2(0-30) sh2(0-30) st3(0-30) sh3(0-30) sco2_1(0-15) sco2_2(0-15) st1(0-15) sh1(0-15) st2(0-15) sh2(0-15) st3(0-15) sh3(0-15) label
-6 7 0.0 1.0 0.2 1.0 0.0 0.0 -11 4 0.1 0.0 0.2 1.0 0.0 1.0 -44 -17 0.1 0.0 0.0 0.0 0.1 0.0 -38 -2 0.0 0.0 0.0 0.0 0.1 0.0 -99 -8 0.2 1.0 0.0 0.0 0.0 1.0 -93 -15 0.2 0.0 0.2 1.0 0.0 1.0 -82 -19 0.1 0.0 0.0 0.0 0.0 0.0 -38 -2 0.0 0.0 0.0 0.0 0.1 0.0 1
-11 4 0.1 0.0 0.2 1.0 0.0 1.0 -44 -17 0.1 0.0 0.0 0.0 0.1 0.0 -38 -2 0.0 0.0 0.0 0.0 0.1 0.0 -33 13 0.0 0.0 0.1 0.0 0.1 0.0 -126 -2 0.2 0.0 0.3 1.0 0.1 1.0 -115 -6 0.1 0.0 0.1 0.0 0.1 0.0 -71 11 0.0 0.0 0.1 0.0 0.0 0.0 -33 13 0.0 0.0 0.1 0.0 0.1 0.0 1
-44 -17 0.1 0.0 0.0 0.0 0.1 0.0 -38 -2 0.0 0.0 0.0 0.0 0.1 0.0 -33 13 0.0 0.0 0.1 0.0 0.1 0.0 -37 -2 0.0 0.0 0.1 0.0 0.0 1.0 -152 -8 0.1 0.0 0.0 0.0 0.1 1.0 -108 9 0.0 0.0 0.0 0.0 0.0 1.0 -70 11 0.0 0.0 0.0 0.0 0.1 1.0 -37 -2 0.0 0.0 0.1 0.0 0.0 1.0 1
0 8 0.0 0.0 0.1 0.0 0.1 1.0 2 -4 0.0 0.0 0.1 0.0 0.1 1.0 0 -9 0.0 0.0 0.0 0.0 0.1 1.0 -4 -6 0.0 1.0 0.0 0.0 0.1 1.0 -2 -11 0.0 1.0 0.0 0.0 0.0 0.0 -2 -19 0.0 1.0 0.1 0.0 0.1 1.0 -4 -15 0.0 1.0 0.0 0.0 0.0 0.0 -4 -6 0.0 1.0 0.0 0.0 0.1 1.0 1
2 -4 0.0 0.0 0.1 0.0 0.1 1.0 0 -9 0.0 0.0 0.0 0.0 0.1 1.0 -4 -6 0.0 1.0 0.0 0.0 0.1 1.0 0 -2 0.0 1.0 0.0 0.0 0.0 0.0 -2 -21 0.0 0.0 0.1 0.0 0.1 1.0 -4 -17 0.0 0.0 0.0 0.0 0.0 0.0 -4 -8 0.0 0.0 0.0 0.0 0.1 1.0 0 -2 0.0 1.0 0.0 0.0 0.0 0.0 1
0 -9 0.0 0.0 0.0 0.0 0.1 1.0 -4 -6 0.0 1.0 0.0 0.0 0.1 1.0 0 -2 0.0 1.0 0.0 0.0 0.0 0.0 2 11 0.0 0.0 0.0 0.0 0.0 0.0 -2 -6 0.0 0.0 0.0 0.0 0.0 0.0 -2 3 0.0 0.0 0.0 0.0 0.1 1.0 2 9 0.0 1.0 0.0 0.0 0.0 0.0 2 11 0.0 0.0 0.0 0.0 0.0 0.0 1
-4 -6 0.0 1.0 0.0 0.0 0.1 1.0 0 -2 0.0 1.0 0.0 0.0 0.0 0.0 2 11 0.0 0.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 0 10 0.0 0.0 0.0 0.0 0.1 1.0 4 16 0.0 1.0 0.0 0.0 0.0 0.0 4 18 0.0 0.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 1
0 -2 0.0 1.0 0.0 0.0 0.0 0.0 2 11 0.0 0.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 4 9 0.0 1.0 0.0 0.0 0.0 0.0 4 11 0.0 0.0 0.0 0.0 0.0 0.0 2 0 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 1
2 11 0.0 0.0 0.0 0.0 0.0 0.0 2 7 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 0 1 0.0 0.0 0.0 0.0 0.0 0.0 4 12 0.0 0.0 0.0 0.0 0.0 0.0 2 1 0.0 0.0 0.0 0.0 0.0 0.0 0 -6 0.0 0.0 0.0 0.0 0.0 0.0 0 1 0.0 0.0 0.0 0.0 0.0 0.0 1
2 7 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 0 1 0.0 0.0 0.0 0.0 0.0 0.0 -3 11 0.0 0.0 0.0 0.0 0.0 0.0 -1 12 0.0 0.0 0.0 0.0 0.0 0.0 -3 5 0.0 0.0 0.0 0.0 0.0 0.0 -3 12 0.0 0.0 0.0 0.0 0.0 0.0 -3 11 0.0 0.0 0.0 0.0 0.0 0.0 1
2 -7 0.0 0.0 0.0 0.0 0.0 0.0 -1 14 0.0 0.0 0.1 0.0 0.1 1.0 -3 13 0.0 0.0 0.1 0.0 0.1 1.0 -3 -13 0.0 0.0 0.0 0.0 0.0 0.0 -5 7 0.0 0.0 0.0 0.0 0.0 0.0 -7 14 0.0 0.0 0.0 0.0 0.0 0.0 -6 0 0.0 0.0 0.1 0.0 0.1 1.0 -3 -13 0.0 0.0 0.0 0.0 0.0 0.0 0
-1 14 0.0 0.0 0.1 0.0 0.1 1.0 -3 13 0.0 0.0 0.1 0.0 0.1 1.0 -3 -13 0.0 0.0 0.0 0.0 0.0 0.0 -2 -6 0.0 0.0 0.1 0.0 0.0 0.0 -9 8 0.0 0.0 0.1 0.0 0.0 0.0 -8 -6 0.0 0.0 0.0 0.0 0.1 1.0 -5 -19 0.0 0.0 0.1 0.0 0.0 0.0 -2 -6 0.0 0.0 0.1 0.0 0.0 0.0 0
-3 13 0.0 0.0 0.1 0.0 0.1 1.0 -3 -13 0.0 0.0 0.0 0.0 0.0 0.0 -2 -6 0.0 0.0 0.1 0.0 0.0 0.0 3 18 0.0 0.0 0.0 0.0 0.0 1.0 -5 12 0.0 0.0 0.0 0.0 0.1 0.0 -2 -1 0.0 0.0 0.1 0.0 0.0 1.0 1 12 0.0 0.0 0.1 0.0 0.0 1.0 3 18 0.0 0.0 0.0 0.0 0.0 1.0 0
-3 -13 0.0 0.0 0.0 0.0 0.0 0.0 -2 -6 0.0 0.0 0.1 0.0 0.0 0.0 3 18 0.0 0.0 0.0 0.0 0.0 1.0 4 3 0.0 0.0 0.0 0.0 0.0 0.0 2 2 0.0 0.0 0.1 0.0 0.0 1.0 5 15 0.0 0.0 0.1 0.0 0.0 1.0 7 21 0.0 0.0 0.0 0.0 0.0 1.0 4 3 0.0 0.0 0.0 0.0 0.0 0.0 0
-2 -6 0.0 0.0 0.1 0.0 0.0 0.0 3 18 0.0 0.0 0.0 0.0 0.0 1.0 4 3 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.1 0.0 0.0 1.0 5 8 0.0 0.0 0.0 0.0 0.0 0.0 7 14 0.0 0.0 0.1 0.0 0.0 0.0 4 -4 0.0 0.0 0.1 0.0 0.0 1.0 0 -7 0.0 0.0 0.1 0.0 0.0 1.0 0
3 18 0.0 0.0 0.0 0.0 0.0 1.0 4 3 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.1 0.0 0.0 1.0 -3 -3 0.0 0.0 0.0 0.0 0.0 1.0 4 11 0.0 0.0 0.1 0.0 0.0 1.0 1 -7 0.0 0.0 0.1 0.0 0.0 0.0 -3 -10 0.0 0.0 0.1 0.0 0.0 0.0 -3 -3 0.0 0.0 0.0 0.0 0.0 1.0 0
4 3 0.0 0.0 0.0 0.0 0.0 0.0 0 -7 0.0 0.0 0.1 0.0 0.0 1.0 -3 -3 0.0 0.0 0.0 0.0 0.0 1.0 3 14 0.0 0.0 0.1 0.0 0.0 0.0 4 7 0.0 0.0 0.0 0.0 0.0 0.0 0 4 0.0 0.0 0.0 0.0 0.0 0.0 0 11 0.0 0.0 0.1 0.0 0.0 1.0 3 14 0.0 0.0 0.1 0.0 0.0 0.0 0
0 -7 0.0 0.0 0.1 0.0 0.0 1.0 -3 -3 0.0 0.0 0.0 0.0 0.0 1.0 3 14 0.0 0.0 0.1 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 0 -3 0.0 0.0 0.0 0.0 0.0 0.0 0 4 0.0 0.0 0.1 0.0 0.0 1.0 3 7 0.0 0.0 0.1 0.0 0.0 0.0 0 -7 0.0 0.0 0.0 0.0 0.0 0.0 0
-1 13 0.0 0.0 0.0 0.0 0.0 1.0 10 -8 0.1 0.0 0.1 0.0 0.1 1.0 7 -15 0.0 0.0 0.1 0.0 0.1 1.0 5 -6 0.1 0.0 0.1 0.0 0.0 0.0 21 -16 0.2 0.0 0.1 0.0 0.0 1.0 22 -29 0.2 0.0 0.1 0.0 0.0 0.0 12 -21 0.1 0.0 0.0 0.0 0.1 1.0 5 -6 0.1 0.0 0.1 0.0 0.0 0.0 1
10 -8 0.1 0.0 0.1 0.0 0.1 1.0 7 -15 0.0 0.0 0.1 0.0 0.1 1.0 5 -6 0.1 0.0 0.1 0.0 0.0 0.0 1 8 0.0 0.0 0.1 0.0 0.1 1.0 23 -21 0.2 0.0 0.0 0.0 0.1 1.0 13 -13 0.1 0.0 0.1 0.0 0.0 0.0 6 2 0.1 0.0 0.0 0.0 0.1 1.0 1 8 0.0 0.0 0.1 0.0 0.1 1.0 1
7 -15 0.0 0.0 0.1 0.0 0.1 1.0 5 -6 0.1 0.0 0.1 0.0 0.0 0.0 1 8 0.0 0.0 0.1 0.0 0.1 1.0 -10 -14 0.1 0.0 0.0 0.0 0.0 0.0 3 -27 0.2 0.0 0.1 0.0 0.0 0.0 -4 -12 0.2 0.0 0.0 0.0 0.1 1.0 -9 -6 0.1 0.0 0.1 0.0 0.1 1.0 -10 -14 0.1 0.0 0.0 0.0 0.0 0.0 1
5 -6 0.1 0.0 0.1 0.0 0.0 0.0 1 8 0.0 0.0 0.1 0.0 0.1 1.0 -10 -14 0.1 0.0 0.0 0.0 0.0 0.0 -30 -5 0.0 1.0 0.0 0.0 0.1 1.0 -34 -17 0.2 1.0 0.0 0.0 0.0 0.0 -39 -11 0.1 1.0 0.1 0.0 0.0 0.0 -40 -19 0.1 1.0 0.0 0.0 0.1 1.0 -30 -5 0.0 1.0 0.0 0.0 0.1 1.0 1
1 8 0.0 0.0 0.1 0.0 0.1 1.0 -10 -14 0.1 0.0 0.0 0.0 0.0 0.0 -30 -5 0.0 1.0 0.0 0.0 0.1 1.0 -26 -2 0.0 1.0 0.0 0.0 0.0 0.0 -65 -13 0.1 0.0 0.1 0.0 0.0 0.0 -66 -21 0.1 0.0 0.0 0.0 0.1 1.0 -56 -7 0.0 0.0 0.0 0.0 0.1 1.0 -26 -2 0.0 1.0 0.0 0.0 0.0 0.0 1
-10 -14 0.1 0.0 0.0 0.0 0.0 0.0 -30 -5 0.0 1.0 0.0 0.0 0.1 1.0 -26 -2 0.0 1.0 0.0 0.0 0.0 0.0 -16 12 0.1 1.0 0.0 0.0 0.0 0.0 -82 -9 0.2 1.0 0.0 0.0 0.1 1.0 -72 5 0.1 1.0 0.0 0.0 0.1 1.0 -42 10 0.1 0.0 0.0 0.0 0.0 0.0 -16 12 0.1 1.0 0.0 0.0 0.0 0.0 1
-30 -5 0.0 1.0 0.0 0.0 0.1 1.0 -26 -2 0.0 1.0 0.0 0.0 0.0 0.0 -16 12 0.1 1.0 0.0 0.0 0.0 0.0 -14 13 0.0 0.0 0.0 0.0 0.0 0.0 -86 18 0.1 1.0 0.0 0.0 0.1 1.0 -56 23 0.1 0.0 0.0 0.0 0.0 0.0 -30 25 0.1 1.0 0.0 0.0 0.0 0.0 -14 13 0.0 0.0 0.0 0.0 0.0 0.0 1
-26 -2 0.0 1.0 0.0 0.0 0.0 0.0 -16 12 0.1 1.0 0.0 0.0 0.0 0.0 -14 13 0.0 0.0 0.0 0.0 0.0 0.0 -12 -1 0.0 0.0 0.0 0.0 0.1 1.0 -68 22 0.1 0.0 0.0 0.0 0.1 1.0 -42 24 0.1 1.0 0.0 0.0 0.1 1.0 -26 12 0.0 0.0 0.0 0.0 0.1 1.0 -12 -1 0.0 0.0 0.0 0.0 0.1 1.0 1
-3 -5 0.0 0.0 0.0 0.0 0.1 1.0 -4 3 0.1 0.0 0.1 0.0 0.1 1.0 17 -7 0.0 0.0 0.1 0.0 0.0 0.0 47 6 0.0 1.0 0.0 0.0 0.1 1.0 57 -3 0.1 1.0 0.0 0.0 0.1 1.0 60 2 0.1 1.0 0.0 0.0 0.0 0.0 64 -1 0.0 1.0 0.1 0.0 0.1 1.0 47 6 0.0 1.0 0.0 0.0 0.1 1.0 0
-4 3 0.1 0.0 0.1 0.0 0.1 1.0 17 -7 0.0 0.0 0.1 0.0 0.0 0.0 47 6 0.0 1.0 0.0 0.0 0.1 1.0 37 -3 0.1 1.0 0.0 0.0 0.0 0.0 97 -1 0.2 0.0 0.0 0.0 0.0 0.0 101 -4 0.1 0.0 0.1 0.0 0.1 1.0 84 3 0.1 0.0 0.0 0.0 0.1 1.0 37 -3 0.1 1.0 0.0 0.0 0.0 0.0 0
17 -7 0.0 0.0 0.1 0.0 0.0 0.0 47 6 0.0 1.0 0.0 0.0 0.1 1.0 37 -3 0.1 1.0 0.0 0.0 0.0 0.0 14 -16 0.0 0.0 0.0 0.0 0.0 0.0 115 -20 0.1 0.0 0.1 0.0 0.1 1.0 98 -13 0.1 0.0 0.0 0.0 0.1 1.0 51 -19 0.1 1.0 0.0 0.0 0.0 0.0 14 -16 0.0 0.0 0.0 0.0 0.0 0.0 0
47 6 0.0 1.0 0.0 0.0 0.1 1.0 37 -3 0.1 1.0 0.0 0.0 0.0 0.0 14 -16 0.0 0.0 0.0 0.0 0.0 0.0 5 2 0.1 0.0 0.1 0.0 0.0 1.0 103 -11 0.2 0.0 0.1 0.0 0.1 0.0 56 -17 0.2 1.0 0.1 0.0 0.0 1.0 19 -14 0.1 0.0 0.1 0.0 0.0 1.0 5 2 0.1 0.0 0.1 0.0 0.0 1.0 0
37 -3 0.1 1.0 0.0 0.0 0.0 0.0 14 -16 0.0 0.0 0.0 0.0 0.0 0.0 5 2 0.1 0.0 0.1 0.0 0.0 1.0 6 6 0.0 0.0 0.1 0.0 0.0 0.0 62 -11 0.2 1.0 0.0 0.0 0.0 1.0 25 -8 0.1 0.0 0.0 0.0 0.0 1.0 11 8 0.1 0.0 0.0 0.0 0.0 1.0 6 6 0.0 0.0 0.1 0.0 0.0 0.0 0
14 -16 0.0 0.0 0.0 0.0 0.0 0.0 5 2 0.1 0.0 0.1 0.0 0.0 1.0 6 6 0.0 0.0 0.1 0.0 0.0 0.0 -12 5 0.0 0.0 0.1 0.0 0.0 1.0 13 -3 0.1 0.0 0.1 0.0 0.0 0.0 -1 13 0.1 0.0 0.1 0.0 0.0 0.0 -6 11 0.0 0.0 0.0 0.0 0.0 1.0 -12 5 0.0 0.0 0.1 0.0 0.0 1.0 0
5 2 0.1 0.0 0.1 0.0 0.0 1.0 6 6 0.0 0.0 0.1 0.0 0.0 0.0 -12 5 0.0 0.0 0.1 0.0 0.0 1.0 -15 -7 0.0 0.0 0.1 0.0 0.0 0.0 -16 6 0.1 0.0 0.0 0.0 0.0 0.0 -21 4 0.0 0.0 0.1 0.0 0.0 1.0 -27 -2 0.0 0.0 0.0 0.0 0.0 1.0 -15 -7 0.0 0.0 0.1 0.0 0.0 0.0 0
6 6 0.0 0.0 0.1 0.0 0.0 0.0 -12 5 0.0 0.0 0.1 0.0 0.0 1.0 -15 -7 0.0 0.0 0.1 0.0 0.0 0.0 -10 -7 0.0 0.0 0.0 0.0 0.0 1.0 -31 -3 0.0 0.0 0.1 0.0 0.0 0.0 -37 -9 0.0 0.0 0.0 0.0 0.0 0.0 -25 -14 0.0 0.0 0.1 0.0 0.0 1.0 -10 -7 0.0 0.0 0.0 0.0 0.0 1.0 0
0 20 0.0 1.0 0.0 0.0 0.1 1.0 8 3 0.0 0.0 0.0 0.0 0.1 2.0 7 -5 0.0 1.0 0.0 0.0 0.1 1.0 6 -8 0.0 0.0 0.0 0.0 0.0 0.0 21 10 0.0 0.0 0.0 0.0 0.1 0.0 21 -10 0.0 1.0 0.0 0.0 0.0 1.0 13 -13 0.0 1.0 0.0 0.0 0.1 1.0 6 -8 0.0 0.0 0.0 0.0 0.0 0.0 1
8 3 0.0 0.0 0.0 0.0 0.1 2.0 7 -5 0.0 1.0 0.0 0.0 0.1 1.0 6 -8 0.0 0.0 0.0 0.0 0.0 0.0 3 -3 0.1 0.0 0.1 0.0 0.1 1.0 24 -13 0.1 1.0 0.1 0.0 0.1 2.0 16 -16 0.1 1.0 0.1 0.0 0.0 0.0 9 -11 0.1 0.0 0.1 0.0 0.1 1.0 3 -3 0.1 0.0 0.1 0.0 0.1 1.0 1
7 -5 0.0 1.0 0.0 0.0 0.1 1.0 6 -8 0.0 0.0 0.0 0.0 0.0 0.0 3 -3 0.1 0.0 0.1 0.0 0.1 1.0 5 7 0.1 1.0 0.1 0.0 0.0 0.0 21 -9 0.0 0.0 0.0 0.0 0.0 0.0 14 -4 0.0 1.0 0.0 0.0 0.1 1.0 8 4 0.0 1.0 0.0 0.0 0.1 1.0 5 7 0.1 1.0 0.1 0.0 0.0 0.0 1
6 -8 0.0 0.0 0.0 0.0 0.0 0.0 3 -3 0.1 0.0 0.1 0.0 0.1 1.0 5 7 0.1 1.0 0.1 0.0 0.0 0.0 8 -7 0.0 1.0 0.1 0.0 0.0 1.0 22 -11 0.0 0.0 0.1 0.0 0.1 2.0 16 -3 0.0 0.0 0.1 0.0 0.1 2.0 13 0 0.1 0.0 0.0 0.0 0.0 1.0 8 -7 0.0 1.0 0.1 0.0 0.0 1.0 1
3 -3 0.1 0.0 0.1 0.0 0.1 1.0 5 7 0.1 1.0 0.1 0.0 0.0 0.0 8 -7 0.0 1.0 0.1 0.0 0.0 1.0 9 -12 0.0 0.0 0.0 0.0 0.1 0.0 25 -15 0.0 0.0 0.1 0.0 0.2 2.0 22 -12 0.1 0.0 0.0 0.0 0.1 1.0 17 -19 0.0 1.0 0.1 0.0 0.1 1.0 9 -12 0.0 0.0 0.0 0.0 0.1 0.0 1
5 7 0.1 1.0 0.1 0.0 0.0 0.0 8 -7 0.0 1.0 0.1 0.0 0.0 1.0 9 -12 0.0 0.0 0.0 0.0 0.1 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 25 -13 0.1 0.0 0.0 0.0 0.2 1.0 20 -20 0.0 1.0 0.1 0.0 0.2 1.0 12 -13 0.0 0.0 0.0 0.0 0.2 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 1
8 -7 0.0 1.0 0.1 0.0 0.0 1.0 9 -12 0.0 0.0 0.0 0.0 0.1 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 -3 14 0.0 0.0 0.0 0.0 0.1 0.0 17 -6 0.0 1.0 0.1 0.0 0.3 1.0 9 1 0.0 0.0 0.0 0.0 0.3 0.0 0 13 0.0 0.0 0.0 0.0 0.2 0.0 -3 14 0.0 0.0 0.0 0.0 0.1 0.0 1
9 -12 0.0 0.0 0.0 0.0 0.1 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 -3 14 0.0 0.0 0.0 0.0 0.1 0.0 -1 17 0.0 0.0 0.0 0.0 0.1 1.0 8 18 0.0 0.0 0.0 0.0 0.4 1.0 -1 30 0.0 0.0 0.0 0.0 0.3 1.0 -4 31 0.0 0.0 0.0 0.0 0.2 1.0 -1 17 0.0 0.0 0.0 0.0 0.1 1.0 1
0 -1 0.1 0.0 0.0 0.0 0.0 0.0 5 3 0.1 1.0 0.1 0.0 0.0 0.0 2 2 0.0 0.0 0.1 0.0 0.1 0.0 6 4 0.1 1.0 0.1 0.0 0.1 0.0 13 8 0.1 0.0 0.1 0.0 0.2 0.0 13 9 0.0 0.0 0.1 0.0 0.2 0.0 8 6 0.1 1.0 0.0 0.0 0.2 0.0 6 4 0.1 1.0 0.1 0.0 0.1 0.0 0
5 3 0.1 1.0 0.1 0.0 0.0 0.0 2 2 0.0 0.0 0.1 0.0 0.1 0.0 6 4 0.1 1.0 0.1 0.0 0.1 0.0 2 0 0.1 1.0 0.0 0.0 0.0 0.0 15 9 0.1 1.0 0.1 0.0 0.2 0.0 10 6 0.0 0.0 0.0 0.0 0.2 0.0 8 4 0.0 0.0 0.1 0.0 0.1 0.0 2 0 0.1 1.0 0.0 0.0 0.0 0.0 0
2 2 0.0 0.0 0.1 0.0 0.1 0.0 6 4 0.1 1.0 0.1 0.0 0.1 0.0 2 0 0.1 1.0 0.0 0.0 0.0 0.0 1 8 0.1 1.0 0.0 0.0 0.1 0.0 11 14 0.1 1.0 0.0 0.0 0.3 0.0 9 12 0.1 1.0 0.1 0.0 0.2 0.0 3 8 0.0 0.0 0.0 0.0 0.1 0.0 1 8 0.1 1.0 0.0 0.0 0.1 0.0 0
6 4 0.1 1.0 0.1 0.0 0.1 0.0 2 0 0.1 1.0 0.0 0.0 0.0 0.0 1 8 0.1 1.0 0.0 0.0 0.1 0.0 2 -14 0.1 0.0 0.1 0.0 0.0 0.0 11 -2 0.0 1.0 0.0 0.0 0.2 0.0 5 -6 0.1 0.0 0.1 0.0 0.1 0.0 3 -6 0.0 1.0 0.1 0.0 0.1 0.0 2 -14 0.1 0.0 0.1 0.0 0.0 0.0 0
2 0 0.1 1.0 0.0 0.0 0.0 0.0 1 8 0.1 1.0 0.0 0.0 0.1 0.0 2 -14 0.1 0.0 0.1 0.0 0.0 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 8 -7 0.1 0.0 0.1 0.0 0.2 0.0 6 -7 0.0 1.0 0.1 0.0 0.2 0.0 5 -15 0.1 0.0 0.1 0.0 0.1 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 0
1 8 0.1 1.0 0.0 0.0 0.1 0.0 2 -14 0.1 0.0 0.1 0.0 0.0 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 0 16 0.1 0.0 0.1 1.0 0.0 0.0 6 9 0.1 1.0 0.0 1.0 0.2 0.0 5 1 0.0 0.0 0.0 1.0 0.1 0.0 3 15 0.1 0.0 0.1 1.0 0.1 0.0 0 16 0.1 0.0 0.1 1.0 0.0 0.0 0
2 -14 0.1 0.0 0.1 0.0 0.0 0.0 3 -1 0.0 0.0 0.0 0.0 0.1 0.0 0 16 0.1 0.0 0.1 1.0 0.0 0.0 -3 12 0.0 0.0 0.1 1.0 0.0 0.0 2 13 0.0 0.0 0.1 0.0 0.1 0.0 0 27 0.1 0.0 0.0 0.0 0.1 0.0 -3 28 0.1 0.0 0.0 0.0 0.0 0.0 -3 12 0.0 0.0 0.1 1.0 0.0 0.0 0
3 -1 0.0 0.0 0.0 0.0 0.1 0.0 0 16 0.1 0.0 0.1 1.0 0.0 0.0 -3 12 0.0 0.0 0.1 1.0 0.0 0.0 -1 -8 0.0 1.0 0.0 1.0 0.1 0.0 -1 19 0.1 1.0 0.0 1.0 0.2 0.0 -4 20 0.1 1.0 0.0 1.0 0.1 0.0 -4 4 0.0 1.0 0.1 0.0 0.1 0.0 -1 -8 0.0 1.0 0.0 1.0 0.1 0.0 0
2 -14 0.0 0.0 0.1 0.0 0.0 0.0 3 -5 0.0 0.0 0.0 0.0 0.1 0.0 9 5 0.1 0.0 0.0 0.0 0.0 0.0 10 -14 0.0 0.0 0.0 0.0 0.0 0.0 24 -28 0.1 0.0 0.1 0.0 0.1 0.0 22 -14 0.1 0.0 0.0 0.0 0.1 0.0 19 -9 0.1 0.0 0.0 0.0 0.0 0.0 10 -14 0.0 0.0 0.0 0.0 0.0 0.0 1
3 -5 0.0 0.0 0.0 0.0 0.1 0.0 9 5 0.1 0.0 0.0 0.0 0.0 0.0 10 -14 0.0 0.0 0.0 0.0 0.0 0.0 8 -14 0.1 1.0 0.0 0.0 0.0 0.0 30 -28 0.2 1.0 0.0 0.0 0.1 0.0 27 -23 0.2 1.0 0.0 0.0 0.0 0.0 18 -28 0.1 1.0 0.0 0.0 0.0 0.0 8 -14 0.1 1.0 0.0 0.0 0.0 0.0 1
9 5 0.1 0.0 0.0 0.0 0.0 0.0 10 -14 0.0 0.0 0.0 0.0 0.0 0.0 8 -14 0.1 1.0 0.0 0.0 0.0 0.0 -6 9 0.1 0.0 0.0 0.0 0.0 0.0 21 -14 0.3 1.0 0.0 0.0 0.0 0.0 12 -19 0.2 1.0 0.0 0.0 0.0 0.0 2 -5 0.2 1.0 0.0 0.0 0.0 0.0 -6 9 0.1 0.0 0.0 0.0 0.0 0.0 1
10 -14 0.0 0.0 0.0 0.0 0.0 0.0 8 -14 0.1 1.0 0.0 0.0 0.0 0.0 -6 9 0.1 0.0 0.0 0.0 0.0 0.0 -10 -7 0.0 0.0 0.0 0.0 0.1 0.0 2 -26 0.2 1.0 0.0 0.0 0.1 0.0 -8 -12 0.2 1.0 0.0 0.0 0.1 0.0 -16 2 0.1 0.0 0.0 0.0 0.1 0.0 -10 -7 0.0 0.0 0.0 0.0 0.1 0.0 1
8 -14 0.1 1.0 0.0 0.0 0.0 0.0 -6 9 0.1 0.0 0.0 0.0 0.0 0.0 -10 -7 0.0 0.0 0.0 0.0 0.1 0.0 -5 10 0.0 0.0 0.0 0.0 0.0 0.0 -13 -2 0.2 1.0 0.0 0.0 0.1 0.0 -21 12 0.1 0.0 0.0 0.0 0.1 0.0 -15 3 0.0 0.0 0.0 0.0 0.1 0.0 -5 10 0.0 0.0 0.0 0.0 0.0 0.0 1
-6 9 0.1 0.0 0.0 0.0 0.0 0.0 -10 -7 0.0 0.0 0.0 0.0 0.1 0.0 -5 10 0.0 0.0 0.0 0.0 0.0 0.0 -7 -19 0.1 0.0 0.0 0.0 0.0 0.0 -28 -7 0.2 0.0 0.0 0.0 0.1 0.0 -22 -16 0.1 0.0 0.0 0.0 0.1 0.0 -12 -9 0.1 0.0 0.0 0.0 0.0 0.0 -7 -19 0.1 0.0 0.0 0.0 0.0 0.0 1
-10 -7 0.0 0.0 0.0 0.0 0.1 0.0 -5 10 0.0 0.0 0.0 0.0 0.0 0.0 -7 -19 0.1 0.0 0.0 0.0 0.0 0.0 -3 -9 0.0 0.0 0.0 0.0 0.0 0.0 -25 -25 0.1 0.0 0.0 0.0 0.1 0.0 -15 -18 0.1 0.0 0.0 0.0 0.0 0.0 -10 -28 0.1 0.0 0.0 0.0 0.0 0.0 -3 -9 0.0 0.0 0.0 0.0 0.0 0.0 1
